id,sentence_id,noise_condition,response,target
1,16,-4 SNR,tooth fairy,"I had a box of matches with me, too"
1,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
1,12,clear,my mom was smart and had a sharp tongue but i,My mom was smart and had a sharp tongue
1,26,-4 SNR,they were decent,Abel basically lived with us from then on.
1,5,-4 SNR,there were two things i loved most fire and lead,The two things I loved most were fire and knives.
1,28,clear,cause i could always find loopholes in the law,Because I could always find loopholes in the law
1,30,+2 SNR,if only my mom knew this,"Man, if only my mom hit me like this"
1,23,clear,he and my mom got into a huge fight,He and my mom got into a huge fight.
1,17,-4 SNR,at one point we took a break to go get a snack,At one point we took a break to go get a snack
1,13,-4 SNR,when it came to disputes catholic school knew to charge,"When it came to discipline, Catholic school was no joke"
1,21,clear,why did i keep misbehavimg,Why did I keep misbehaving?
1,20,+2 SNR,thing catch fire sometimes,Things catch fire sometimes.
1,2,-4 SNR,i loved and i especially loved fireworks,I loved fire and I especially loved fireworks
1,4,+2 SNR,i was hyperactive too,"I was hyperactive, too"
1,3,+2 SNR,they called me the rubbish bin of the family,They called me the rubbish bin of the family
1,15,+2 SNR,i didnt get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
1,11,+2 SNR,black peoples dogs dont play fetch,Black people's dogs don't play fetch
1,10,clear,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
1,29,clear,a kid was bullying me,A kid was bullying me
1,8,+2 SNR,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
1,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
1,1,-4 SNR,my eyebrows were gone,My eyebrows were gone
1,22,-4 SNR,my family came home and,The white family came home and stood on the street
1,19,clear,the lawyer in me maintains that im completely innocent,The lawyer in me maintains that I am completely innocent
1,7,+2 SNR,son was laughing while we were hitting him,Your son was laughing while we were hitting him.
1,24,-4 SNR,thats why theres a fire,That’s why there’s a fire brigade
1,18,+2 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
1,25,-4 SNR,the kicked abel out of the garage,They kicked Abel out of the garage
1,9,+2 SNR,and id play with her son whenever we stayed there,And I’d play with her son whenever we stayed there
1,14,clear,in my mind i wasnt breaking the rules,"In my mind, I wasn’t breaking the rules"
2,30,+2 SNR,if only my mom had knew this,"Man, if only my mom hit me like this"
2,16,-4 SNR,the evening,"I had a box of matches with me, too"
2,3,+2 SNR,they called me the rubbish bin of the family,They called me the rubbish bin of the family
2,13,-4 SNR,"when it came to disagree, catholics knew","When it came to discipline, Catholic school was no joke"
2,8,clear,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
2,7,-4 SNR,the way your son was laughing while we were hitting it off,Your son was laughing while we were hitting him.
2,22,+2 SNR,"the white family came home, and stood on the streets",The white family came home and stood on the street
2,14,-4 SNR,in my mind i was breaking loose,"In my mind, I wasn’t breaking the rules"
2,28,clear,cause i could always find loopholes in the law,Because I could always find loopholes in the law
2,17,-4 SNR,"at one point, i took a break to go get a snack",At one point we took a break to go get a snack
2,20,-4 SNR,things catch fire so many times,Things catch fire sometimes.
2,6,+2 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
2,26,clear,abel basically lived with us from then on,Abel basically lived with us from then on.
2,29,-4 SNR,the kid was bleeding out,A kid was bullying me
2,5,+2 SNR,the two things i loved most were fire and madness,The two things I loved most were fire and knives.
2,12,clear,my mom was smart and had a sharp tongue but,My mom was smart and had a sharp tongue
2,11,clear,black peoples dogs dont play fetch,Black people's dogs don't play fetch
2,15,+2 SNR,i hadnt get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
2,23,-4 SNR,he and my mom went into a huge fight,He and my mom got into a huge fight.
2,2,+2 SNR,i loved fire and i especially loved fireworks,I loved fire and I especially loved fireworks
2,27,clear,the therapists did give me a series of tests,The therapists did give me a series of tests
2,25,+2 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
2,9,clear,and id played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
2,19,clear,the lawyer in me maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
2,18,-4 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
2,24,+2 SNR,that's why there's a fire,That’s why there’s a fire brigade
2,4,-4 SNR,i was bagged too,"I was hyperactive, too"
2,10,clear,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
2,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
2,1,clear,my eyebrows were gone,My eyebrows were gone
3,22,clear,the white family came home and stood on the street,The white family came home and stood on the street
3,2,+2 SNR,i loved fire and i especially loved fireworks,I loved fire and I especially loved fireworks
3,25,+2 SNR,they kick abel out of the garage,They kicked Abel out of the garage
3,27,-4 SNR,the therapist did give me a series of tests,The therapists did give me a series of tests
3,23,-4 SNR,me and my mom got into a huge fight,He and my mom got into a huge fight.
3,7,clear,your son was laughing while we were hitting him,Your son was laughing while we were hitting him.
3,16,-4 SNR,i had matches with them too,"I had a box of matches with me, too"
3,9,+2 SNR,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
3,29,-4 SNR,the kid was bullied,A kid was bullying me
3,18,-4 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
3,19,+2 SNR,the lawyer in me maintains that im completely innocent,The lawyer in me maintains that I am completely innocent
3,1,+2 SNR,my eyebrows were gone,My eyebrows were gone
3,11,+2 SNR,black peoples dogs dont play fetch,Black people's dogs don't play fetch
3,4,clear,i was hyperactive too,"I was hyperactive, too"
3,30,-4 SNR,i phoned my mom at the house,"Man, if only my mom hit me like this"
3,15,clear,i didnt get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
3,8,+2 SNR,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
3,13,clear,when it came to decipline catholic school was no joke,"When it came to discipline, Catholic school was no joke"
3,3,clear,they called me the rubbish bin of the family,They called me the rubbish bin of the family
3,21,-4 SNR,why did they keep misbehaving,Why did I keep misbehaving?
3,6,+2 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
3,28,+2 SNR,cause i could always find loopholes in the law,Because I could always find loopholes in the law
3,14,+2 SNR,in my mind i wasnt breaking rules,"In my mind, I wasn’t breaking the rules"
3,12,-4 SNR,i was smart at that time,My mom was smart and had a sharp tongue
3,24,-4 SNR,thats why theres a fire alarm in there,That’s why there’s a fire brigade
3,17,clear,at one point we took a break to go get a snack,At one point we took a break to go get a snack
3,26,clear,abel basically lived with us from then on,Abel basically lived with us from then on.
3,5,clear,the two things i loved most were fires and knives,The two things I loved most were fire and knives.
3,10,-4 SNR,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
3,20,clear,things catch fire sometimes,Things catch fire sometimes.
4,16,clear,box of matches with me two.,"I had a box of matches with me, too"
4,12,-4 SNR,my mothers socks it shocked her.,My mom was smart and had a sharp tongue
4,26,-4 SNR,pebel basically lived with us.,Abel basically lived with us from then on.
4,29,clear,a kid was bullying him,A kid was bullying me
4,6,+2 SNR,go to the bathroom and look it yourself,Go to the bathroom and look at yourself.
4,2,clear,i loved fire and specially loved fireworks,I loved fire and I especially loved fireworks
4,28,-4 SNR,cause i could always find,Because I could always find loopholes in the law
4,27,+2 SNR,the therapists did give me a serious test,The therapists did give me a series of tests
4,1,clear,my eyebrows were gone,My eyebrows were gone
4,30,-4 SNR,if only my mom waxed,"Man, if only my mom hit me like this"
4,25,clear,they kicked able out of the garage,They kicked Abel out of the garage
4,10,+2 SNR,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
4,14,+2 SNR,in my mind i wasnt breaking the rules,"In my mind, I wasn’t breaking the rules"
4,11,-4 SNR,black people dogs dont play fetch,Black people's dogs don't play fetch
4,13,clear,when it came to discipline catholic school was no joke,"When it came to discipline, Catholic school was no joke"
4,18,-4 SNR,one of my uncles stopped calling the trip,One of my uncles stopped calling me Trevor
4,8,clear,my mom was forever trying to rain me in,My mom was forever trying to rein me in.
4,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
4,19,-4 SNR,loyal in maintains im completely insecure,The lawyer in me maintains that I am completely innocent
4,15,-4 SNR,i didnt get into trouble with my mom,I didn’t get into trouble with my mom when it happened
4,5,clear,the two things i loved most were fire and knives,The two things I loved most were fire and knives.
4,22,clear,the white family came home and stood on the streets,The white family came home and stood on the street
4,20,clear,things catch fire sometimes the,Things catch fire sometimes.
4,17,+2 SNR,at one point we took the break to get a snacks,At one point we took a break to go get a snack
4,23,+2 SNR,he and my mom got in the huge flight,He and my mom got into a huge fight.
4,7,+2 SNR,way of her son was laughing why we were hitting him,Your son was laughing while we were hitting him.
4,4,+2 SNR,i was hyperactive two,"I was hyperactive, too"
4,3,-4 SNR,they called me rubishbanobosam,They called me the rubbish bin of the family
4,24,-4 SNR,thats why there is a fire mark,That’s why there’s a fire brigade
4,9,+2 SNR,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
5,3,clear,the called me the rubbish bin of the family,They called me the rubbish bin of the family
5,30,-4 SNR,background noise,"Man, if only my mom hit me like this"
5,23,clear,hmy mom got into a huge fight,He and my mom got into a huge fight.
5,25,+2 SNR,they kicked a lot of the garage,They kicked Abel out of the garage
5,29,-4 SNR,background noise,A kid was bullying me
5,18,-4 SNR,one of my uncles,One of my uncles stopped calling me Trevor
5,28,+2 SNR,ce i could only find,Because I could always find loopholes in the law
5,1,-4 SNR,ggg,My eyebrows were gone
5,2,-4 SNR,lmm,I loved fire and I especially loved fireworks
5,17,-4 SNR,at one point he took a break,At one point we took a break to go get a snack
5,7,+2 SNR,sas laughing,Your son was laughing while we were hitting him.
5,5,clear,itwo things i loved most was fight and knives,The two things I loved most were fire and knives.
5,20,clear,ts catch fire sometimes,Things catch fire sometimes.
5,14,-4 SNR,thin,"In my mind, I wasn’t breaking the rules"
5,26,+2 SNR,ale lived,Abel basically lived with us from then on.
5,15,-4 SNR,nljk,I didn’t get into trouble with my mom when it happened
5,24,clear,njlkf,That’s why there’s a fire brigade
5,21,clear,why did i keep misbehaving,Why did I keep misbehaving?
5,12,-4 SNR,mlk,My mom was smart and had a sharp tongue
5,16,+2 SNR,gth,"I had a box of matches with me, too"
5,11,clear,black peoples dogs dont play flitch,Black people's dogs don't play fetch
5,10,+2 SNR,why does not your mother buy a thing,Why doesn’t your mother buy it for you?
5,19,clear,the loyal in my maintain am completely innocents,The lawyer in me maintains that I am completely innocent
5,13,+2 SNR,hkj,"When it came to discipline, Catholic school was no joke"
5,9,+2 SNR,hj,And I’d play with her son whenever we stayed there
5,4,clear,hyperactive,"I was hyperactive, too"
5,6,+2 SNR,go to the bathroomand look at yourself,Go to the bathroom and look at yourself.
5,27,clear,the therapist did give me a series of tips,The therapists did give me a series of tests
5,22,-4 SNR,evn o and whora,The white family came home and stood on the street
5,8,+2 SNR,mom almost rained me,My mom was forever trying to rein me in.
6,15,-4 SNR,i began to get in trouble with my mom and dad,I didn’t get into trouble with my mom when it happened
6,5,-4 SNR,"there are two things i love the most, fire and knives",The two things I loved most were fire and knives.
6,20,+2 SNR,things catch fire sometimes,Things catch fire sometimes.
6,8,clear,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
6,18,-4 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
6,10,clear,why doesn't your mother buy it for you,Why doesn’t your mother buy it for you?
6,13,clear,"when it came to discipline, catholic school was no joke","When it came to discipline, Catholic school was no joke"
6,7,+2 SNR,your son was laughing while we were hitting him,Your son was laughing while we were hitting him.
6,2,-4 SNR,i especially loved fire pits,I loved fire and I especially loved fireworks
6,3,clear,they called me the rubbish bin of the family,They called me the rubbish bin of the family
6,11,-4 SNR,people's dogs don't play fetch,Black people's dogs don't play fetch
6,12,+2 SNR,my mom was smart and had a sharp tongue,My mom was smart and had a sharp tongue
6,16,clear,i had a box of matches with me too,"I had a box of matches with me, too"
6,30,+2 SNR,if only my mom had heard this,"Man, if only my mom hit me like this"
6,26,-4 SNR,reach,Abel basically lived with us from then on.
6,17,+2 SNR,"at one point, we took a break to go get a snack",At one point we took a break to go get a snack
6,25,-4 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
6,21,-4 SNR,i think he misbehaved,Why did I keep misbehaving?
6,9,-4 SNR,i played with her son whenever we stayed,And I’d play with her son whenever we stayed there
6,22,+2 SNR,the white family came home and stood on the street,The white family came home and stood on the street
6,28,clear,cause i could always find loopholes in the law,Because I could always find loopholes in the law
6,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
6,4,+2 SNR,i was hyperactive too,"I was hyperactive, too"
6,29,clear,the kid was bullying me,A kid was bullying me
6,27,+2 SNR,the therapist did give me a series of tips,The therapists did give me a series of tests
6,24,clear,that's why there's a fire brigade,That’s why there’s a fire brigade
6,14,clear,"in my mind, i wasn't breaking the rules","In my mind, I wasn’t breaking the rules"
6,19,+2 SNR,the lawyer maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
6,23,-4 SNR,he and my mom got into a huge fight,He and my mom got into a huge fight.
6,1,+2 SNR,my eyebrows were gone,My eyebrows were gone
7,28,+2 SNR,i could always find a new ....,Because I could always find loopholes in the law
7,2,+2 SNR,....,I loved fire and I especially loved fireworks
7,19,clear,the lawyer maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
7,5,-4 SNR,...,The two things I loved most were fire and knives.
7,4,+2 SNR,...,"I was hyperactive, too"
7,9,clear,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
7,16,+2 SNR,i had a box of matches,"I had a box of matches with me, too"
7,13,+2 SNR,NA,"When it came to discipline, Catholic school was no joke"
7,21,-4 SNR,NA,Why did I keep misbehaving?
7,17,clear,at one point i  took a break to go get a snack,At one point we took a break to go get a snack
7,7,+2 SNR,laughing while we were,Your son was laughing while we were hitting him.
7,1,clear,my eyebrows were  gone,My eyebrows were gone
7,24,clear,that's why there is a ...,That’s why there’s a fire brigade
7,15,-4 SNR,NA,I didn’t get into trouble with my mom when it happened
7,14,-4 SNR,NA,"In my mind, I wasn’t breaking the rules"
7,29,clear,NA,A kid was bullying me
7,27,-4 SNR,NA,The therapists did give me a series of tests
7,23,-4 SNR,NA,He and my mom got into a huge fight.
7,26,-4 SNR,NA,Abel basically lived with us from then on.
7,30,clear,NA,"Man, if only my mom hit me like this"
7,3,-4 SNR,i,They called me the rubbish bin of the family
7,10,+2 SNR,why dosent you mother buy this for you,Why doesn’t your mother buy it for you?
7,12,+2 SNR,my mom is smart,My mom was smart and had a sharp tongue
7,8,+2 SNR,NA,My mom was forever trying to rein me in.
7,18,+2 SNR,one of my uncles stopped,One of my uncles stopped calling me Trevor
7,25,-4 SNR,NA,They kicked Abel out of the garage
7,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
7,22,clear,came home ... and stood on the,The white family came home and stood on the street
7,20,-4 SNR,was petrified,Things catch fire sometimes.
7,11,clear,people's dogs dont play fetch,Black people's dogs don't play fetch
8,9,-4 SNR,loud noise,And I’d play with her son whenever we stayed there
8,28,clear,law,Because I could always find loopholes in the law
8,1,+2 SNR,eyebrow,My eyebrows were gone
8,8,clear,rain,My mom was forever trying to rein me in.
8,24,+2 SNR,fire,That’s why there’s a fire brigade
8,15,clear,trouble,I didn’t get into trouble with my mom when it happened
8,4,+2 SNR,hyper,"I was hyperactive, too"
8,6,+2 SNR,bathroom look at yourself,Go to the bathroom and look at yourself.
8,17,-4 SNR,took a break,At one point we took a break to go get a snack
8,29,clear,kid was bullying me,A kid was bullying me
8,7,+2 SNR,son was laughing at me while he was hit me,Your son was laughing while we were hitting him.
8,23,clear,he and mom got into a big fight,He and my mom got into a huge fight.
8,21,-4 SNR,behaviour,Why did I keep misbehaving?
8,5,+2 SNR,the to two i like the most was fire and matches,The two things I loved most were fire and knives.
8,11,+2 SNR,black people dogs dont play flesh,Black people's dogs don't play fetch
8,22,clear,white family told on the streets,The white family came home and stood on the street
8,10,clear,why does your mother buy it for you,Why doesn’t your mother buy it for you?
8,27,-4 SNR,i dont know,The therapists did give me a series of tests
8,20,+2 SNR,thing catch fire sometimes,Things catch fire sometimes.
8,14,-4 SNR,i dont know,"In my mind, I wasn’t breaking the rules"
8,30,+2 SNR,only my mom,"Man, if only my mom hit me like this"
8,3,clear,the called me the rubbish of the family,They called me the rubbish bin of the family
8,2,-4 SNR,specially love fire place,I loved fire and I especially loved fireworks
8,12,clear,my mom was smart,My mom was smart and had a sharp tongue
8,13,-4 SNR,good evening,"When it came to discipline, Catholic school was no joke"
8,16,-4 SNR,i dont know,"I had a box of matches with me, too"
8,18,-4 SNR,one my uncles,One of my uncles stopped calling me Trevor
8,19,clear,the lawers said i am complete innocent,The lawyer in me maintains that I am completely innocent
8,25,-4 SNR,i dont know,They kicked Abel out of the garage
8,26,+2 SNR,gable live with us,Abel basically lived with us from then on.
9,2,+2 SNR,i love fire and i especially loved fireworks,I loved fire and I especially loved fireworks
9,18,-4 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
9,14,-4 SNR,in my mind it wasnt breaing news,"In my mind, I wasn’t breaking the rules"
9,19,-4 SNR,lawyer maintains that i,The lawyer in me maintains that I am completely innocent
9,30,-4 SNR,only my mom knows this,"Man, if only my mom hit me like this"
9,4,-4 SNR,it was my bad,"I was hyperactive, too"
9,20,+2 SNR,things catch fire sometimes,Things catch fire sometimes.
9,5,+2 SNR,the two things i loved most was fire and max,The two things I loved most were fire and knives.
9,9,clear,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
9,13,-4 SNR,when it came to discipline the catholics,"When it came to discipline, Catholic school was no joke"
9,29,+2 SNR,the kid was bullied,A kid was bullying me
9,17,+2 SNR,at one point we took a break to get a snack,At one point we took a break to go get a snack
9,1,clear,my eyebrows were gone,My eyebrows were gone
9,26,+2 SNR,able basically lived with us from then on,Abel basically lived with us from then on.
9,25,-4 SNR,they kept able at the garage,They kicked Abel out of the garage
9,10,-4 SNR,why doesn't your mother buy it for youslash,Why doesn’t your mother buy it for you?
9,24,clear,thats why there is a fire brigade,That’s why there’s a fire brigade
9,21,+2 SNR,why did i keep bisbehaving,Why did I keep misbehaving?
9,6,-4 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
9,7,clear,your son was laughing while he was hitting him,Your son was laughing while we were hitting him.
9,22,clear,the white family came home and stood on the streets,The white family came home and stood on the street
9,27,clear,the therapists did give me a series of tests,The therapists did give me a series of tests
9,3,+2 SNR,they called me the rubbish bin of the family,They called me the rubbish bin of the family
9,16,clear,i had a box of matches with me too,"I had a box of matches with me, too"
9,15,-4 SNR,i didnt get in trouble with my mother a lot,I didn’t get into trouble with my mom when it happened
9,11,clear,black peoples dogs dont play fetch,Black people's dogs don't play fetch
9,28,+2 SNR,cuz i could always find loopholes within it,Because I could always find loopholes in the law
9,23,clear,he and my mom got into a huge fight,He and my mom got into a huge fight.
9,8,+2 SNR,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
9,12,clear,my mom was smart and had a short tongue but,My mom was smart and had a sharp tongue
10,13,-4 SNR,when it came to captain district,"When it came to discipline, Catholic school was no joke"
10,10,-4 SNR,why doesn't your mother buy it for you,Why doesn’t your mother buy it for you?
10,5,clear,the two things i loved the most were fire and knives,The two things I loved most were fire and knives.
10,22,+2 SNR,the white family came home and stood on the street,The white family came home and stood on the street
10,9,clear,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
10,7,-4 SNR,summer while we were hitting,Your son was laughing while we were hitting him.
10,3,+2 SNR,NA,They called me the rubbish bin of the family
10,29,clear,they called me the rubbish bin of the family they bullied me,A kid was bullying me
10,20,clear,things catch fire sometimes,Things catch fire sometimes.
10,12,-4 SNR,smart shocked family,My mom was smart and had a sharp tongue
10,6,-4 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
10,4,clear,i was hyperactive too,"I was hyperactive, too"
10,25,+2 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
10,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
10,19,-4 SNR,the lawyer maintains,The lawyer in me maintains that I am completely innocent
10,14,clear,in my mind i wasn't breaking the rules,"In my mind, I wasn’t breaking the rules"
10,2,-4 SNR,nice especially fire place,I loved fire and I especially loved fireworks
10,15,clear,i didn't get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
10,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
10,23,clear,herein my mom got into huge fights,He and my mom got into a huge fight.
10,24,+2 SNR,that's why there's a fire place,That’s why there’s a fire brigade
10,17,-4 SNR,at one point we took a break to get a snack,At one point we took a break to go get a snack
10,8,+2 SNR,my mom was forever turning a rain near,My mom was forever trying to rein me in.
10,1,-4 SNR,oh god,My eyebrows were gone
10,28,+2 SNR,cause i could always find loophole in the rules,Because I could always find loopholes in the law
10,11,+2 SNR,black people's dogs don't play fetch,Black people's dogs don't play fetch
10,16,+2 SNR,i had a box of matches with me too,"I had a box of matches with me, too"
10,30,+2 SNR,tell me my mommy i like this,"Man, if only my mom hit me like this"
10,26,clear,abel basically lived with us from then on,Abel basically lived with us from then on.
10,18,-4 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
11,13,clear,when it came to catholic school it was not a joke,"When it came to discipline, Catholic school was no joke"
11,3,-4 SNR,i could not hear it clearly,They called me the rubbish bin of the family
